,Title,Age,description,websiteRef,Minor,LangPattern,Trafficked
0,call girls in riya 24x7 hot sexy best housewife low cost service,21,       hyy guys https   wa me   i am riya independent horny call girl service  sexy housewife escorts and female escort girls also avbl  living alone looking honest and genuine guys for fun and entertainment  i am available for both incall outcall services at low charges  so without any hesitation pick your call and book me for short and night services    hour    hour    hour   full night     o clock to morning  o clock full night service full enjoy unlimited shots  including hotel charges   join me guys for whatsapp and telegram link https   wa me    https   t me riyacallgirlsescort  call me for     best call girl service   we have a all type of babes call girl service like tamil  russian  south indian  punjabi  marathi   gujrati  etc  who presenting a high class satisfaction women seeking men feeling when you make relationship with her   all the girls are professionally trained and relate to high showtimes society who  charge a very highly individually but after contacting us  we are provide babes as lowest prices rates to our customer any time because they are working here a part time and i will pay her sallery per customer so don t worry just call us getting call girl service for fcuk now    hello gentlemen call   whatsapp  only geniune person dont time waste geniune person enjoy      customers satisfaction guarantee      vip profiles top grades service      cooperative  all around service we guarantee full satisfaction   in case of any unhappy experience we would refund your fees   without any questions asked  call    any time   any where    services  a  level   star escort strip  tease  bbbj   bareback blowjob  recieve advance sexual techniques in different mode make their life more pleasurable  spending time in hotel room  bj   blowjob without condom completion   oral to completion covered   covered blowjob without a condom    daty   dinner at the y    dsl   dick sucking lips    dt   dinning at the toes english spanking   doggie   sec style from behind    duo   sex with two escort   threesom with the client   s  gfe   special girl friend experience hj   hand job    special massage o   level   oral sex    tour   internationally       sex    bj   blowjob without condom    gfe   girlfriend experience   cbj   covered blowjob  oral sex with a condom  vip     service  time wasters and bargainers are please excuse we respect your safety and privacy and expect the same from you         ,1,1,1,1
1,no advance  out call door step independent call girl service21 ,21,       no advance direct payment hotel and home doore stpe delivery  direct hand cash payment only  shavrya   call me       just click for whatsapp  https   wa me      we provide   genuine services in bangalore    independent call girl and homely aunty  s door step service and home delivery available   kannada and north and college girls available  hrs services    in bangalore    we are providing genuine service in bangalore  first select the girl profile and then she will come to your location and then make the payment directly  no advance payment   we provide door step service     hotel and home services in all over bangalore   we are fouse only for client requirment and satisfaction and girl friend experience   full fill of your needs on bed   time passers stay away  any more information contact me shavrya        thank you for visiting my add       ,1,1,0,0
2,call girls in jp nagar hot sexy independent girl service availab,21,       professional escort services  https   wa me    call girls     rating all over area x available  contact us   whatapp call  https   wa me    we have all types service like russian  south indian  punjabi  marathi  gujarati etc  who presenting a high class satisfaction feeling when you make relationship with her  all the girls are professionally trained and related to high society who charge very highly invidually but after connecting us  we are provided babies at lowest price rates to our customer anytime because they are working here a part time and i ll pay  her salary per customer   we provide best female escort service and  taking service from us since last  years regularly  give us a chance to serve  you will never search number on internet again  as you will be our regular prestigious customer   all type service available   anal sex      kissing  french kiss also       liplock     smooch      blowjob      coverd blowjob      sucking      fucking      with condom   without condom      oral sex     massages  call me       ,1,1,1,1
3,sneha independent kannada girl call me,21,       sneha   hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,1,0,0
5,call ammu 1500 shot 5500 night call girl available for se,21,       get in touch in whatsapp now directly whatsapp messag me    https   wa me   call me  please only whatsapp message me directly      here personal number  independent girl s call girls in woman seeking men i am staying really independent in my home in i will really give u good enjoyment and excellent service on my bed i am basically from south girl so some problems that s why this way trust me i will give good cooperation and full enjoyment have full relaxation in my house no brokers involved directly call  call me now  manasa       ,1,1,0,0
6,i m divya vip kannada independent call girls women seeking men,20,       welcome to vip divya kannada escort call girl service in gaytrinagara bangalore   booking open now we are providing safe   secure     vip genuine service      star level escort service    trustable   satisfaction  whatsapp join touch link https   wa me    telegram join touch link https   telegram me swethacallgirls  we provide high class educated independent girls   models   housewife   air hostesses   college girls   call center girls   who are not only good looking but also very mannered      vip escort service  only genuine customer invited   time passer stay away   customer safety and security is our first priority    incall   outcall same price  hr            hr             hr            hr            full day              full night             charges are including rooms      same girl available otherwise full payment refund    i am would like to invite for nice sexy moments with me   i am guarantee you will enjoy it and i will do my best for you to forget about the world for a while    i am completely open minded for new experience    i m believe that we both   sharing unforgettable         full service       service available      kissing   french kiss also    liplock    smooch    blowjob   without condom    oral service    anal service  sucking    fucking   all girls vaccinated          costomers satisfaction guarantee    cooperative all round service   don t hesitate contact with me now  i m available on the whatsapp  reply in min   https   wa me    divya kannada vip escort call girls service contact me genuine person only thank you for       ,1,1,1,1
8,1500 short 6000 night unlimited hard cord sex in call girl be,21, https   wa me    my self divya provide genuine real profile escort service in all over city area with place charges include   you can book all type babes girls house wife and aunty to clik the whatsapp link and get all details with confirmation in whatsapp   we provide service in private appartment so don t worry about security and also provide service in same price we provide hotel service also it s near to your location   we want long term relationship and customer satisfaction so please if u genuinely need than visit my number   all girls are well educated and   independent and they cooperate with u my service available   get   price list start to suit your budget tage  woman seeking man we will try to give you   service available in  x   service type   in call   out call   full lip to lip kiss     b job without condom   hard core sex   much more    body to body touch   kissing   sucking boobs and more   enjoy by hand   relax by oral   sex with heppy ending  tags women seeking men    call girls service    low rate call girls    vip escorts service    sex service with safe room    high class college girls  in call or out call all over    service   as we respect the value ho for your money  safe secure place incall service quick response personal sexual pleasure  and all girls are vaccineted covid       ,1,1,0,0
9,girl s in bangalore 24 7 low budget vip call girl majestic btm,22,       welcom to   https   wa me    https   wa me   best price vip call girl services in bangalore   we provide high class educated independent girls   models  housewife  air hostesses  college girls  call center girls  who are not only good looking but also very mannered  independent vip girls    genuine service    only genuine customer invited  time passer stay away  customer safety and security is our first priority   charges are including rooms    same girl available otherwise full payment refund   full service      service available      kissing  french kiss also   liplock   smooch   blowjob  without condom   oral service   anal service   sucking   fucking   all girls vaccinated      only genuine person contact me       thx        ,1,0,1,0
11,call girl in bangalore independent  low price  hot figure girls,20,        click on the link for whatsapp message i send details on whatsapp    whatsapp  https   wa me  https   wa me    telegram  http   t me manojbharti   we are always aware about the confidentiality of our customers and escorts during the meeting we respect of their social image and prestige  therefore  we offer them risk free environment to enjoy our high class escorts agency girls are available for out call and in call service  which suits you better rates do not matter when you are addicted to quality  even though our rates are quite liberal by all means if you really want genuine service then call or whatsapp me   to enjoy with hot and sexy girls   models v i p models russian models foreigner models  tv actress and celebrities  receptionist air hostesses  we provide all type service like anal sex kissing pussy licking  blowjob  postion sex body to body massage bbj all postion sex any type  if you are in search of high class escort service in low price then call or whatsapp me for further details  whatsapp   https   wa me  ,1,1,1,1
12,it s fully truly   no any agent involved  kannad video call girl,22,       hiiii guys i m genuine independent nude video call girl will do provide nude video calling with dirty talk in kannada language    hrs service available  i m college girl so doing this job i hv done pervious as a honestly who verified by locento  all online service i will give who wants us   me   my frnd stay here  so if want us then we will do also lesbian video call       it s only genuine service so i hope that s only genuine customer chat with me      what sp links     https   wa link vjdln ,1,0,0,0
